日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
2015-02-01,93.77,-0.17033961,-0.56203606,-1.07606288,-3.2401197,-4.23815359,-4.2088058
2015-03-01,93.11,-0.70384985,-0.87299052,-1.69974662,-3.41286307,-4.56129561,-3.93107718
2015-04-01,92.56,-0.59069917,-1.45853295,-2.32165471,-3.37195949,-4.92039034,-3.20016733
2015-05-01,92.43,-0.14044944,-1.42902847,-1.98303287,-2.72574195,-4.96607033,-2.60273973
2015-06-01,92.63,0.21637996,-0.51551928,-1.38400937,-2.3302404,-4.78980368,-2.19617781
2015-07-01,93.03,0.43182554,0.50777874,-0.95816033,-1.88778739,-4.47684567,-1.62842339
2015-08-01,93.46,0.46221649,1.11435681,-0.33059614,-1.40310159,-3.93668414,-1.24683009
2015-09-01,93.4,-0.06419859,0.83126417,0.31145956,-1.39358108,-3.95886889,-1.04883992
2015-10-01,93.34,-0.06423983,0.33322584,0.84269663,-1.49852258,-3.65400495,-1.29018613
2015-11-01,93.35,0.01071352,-0.11769741,0.99534783,-1.00742312,-3.14380577,-2.46578205
2015-12-01,93.34,-0.01071237,-0.06423983,0.76649034,-0.62812733,-3.98107191,-2.3538027
2016-02-01,99.18,6.25669595,6.24531334,6.12026535,5.76943585,2.34237953,1.28676471
2016-03-01,100.29,1.11917725,7.44589672,7.37687366,7.7113092,4.03526971,2.79827798
2016-04-01,100.58,0.28916143,7.75658882,7.75658882,8.66464996,5.00052198,3.31792501
2016-05-01,100.57,-0.00994233,1.40149224,7.73433315,8.8066645,5.84087561,3.40324902
2016-06-01,100.92,0.34801631,0.62817828,8.12084851,8.94958437,6.41079713,3.73111317
2016-07-01,100.36,-0.55489497,-0.21873136,7.52089136,7.87917876,5.84264923,3.04959441
2016-08-01,100.4,0.03985652,-0.16903649,1.23008671,7.42563664,5.91834582,3.19662864
2016-09-01,100.54,0.13944223,-0.37653587,0.2492771,7.64453961,6.14442568,3.38303342
2016-10-01,100.75,0.20887209,0.38860104,0.16901969,7.93871866,6.32123259,3.99463254
2016-11-01,100.88,0.12903226,0.47808765,0.30824301,8.06641671,6.97773065,4.66901847
2016-12-01,101.02,0.13877875,0.47742192,0.09908839,8.22798372,7.54817417,3.91934986
2017-02-01,100.76,-0.25737478,-0.11895321,0.35856574,1.59306312,7.45440973,3.97275823
2017-03-01,101.12,0.35728464,0.0989903,0.57688482,0.82759996,8.60272796,4.89626556
2017-04-01,101.21,0.08900316,0.18808157,0.45657568,0.62636707,9.34528954,5.65821067
2017-05-01,101.18,-0.02964134,0.41683208,0.29738303,0.60654271,9.46662339,6.48284572
2017-06-01,101.38,0.19766752,0.25712025,0.35636508,0.45580658,9.44618374,6.89582455
2017-07-01,101.45,0.06904715,0.23713072,0.42565829,1.08609008,9.05084381,6.99219574
2017-08-01,101.47,0.01971414,0.28661791,0.7046447,1.06573705,8.57051145,7.04715687
2017-09-01,101.5,0.02956539,0.11836654,0.37579114,0.95484384,8.67237687,7.15793919
2017-10-01,101.54,0.03940887,0.08871365,0.32605474,0.78411911,8.78508678,7.15491769
2017-11-01,101.68,0.1378767,0.20695772,0.49416881,0.79302141,8.92340653,7.82608696
2017-12-01,101.77,0.08851298,0.26600985,0.38469126,0.74242724,9.03149775,8.34664112
2018-02-01,101.71,-0.05895647,0.02950433,0.23652311,0.94283446,2.55091752,8.46752693
2018-03-01,101.52,-0.18680562,-0.24565196,0.01970443,0.39556962,1.22644331,9.03232735
2018-04-01,101.39,-0.12805359,-0.37339098,-0.14772503,0.17784804,0.80532909,9.53975799
2018-05-01,101.62,0.22684683,-0.08848687,-0.05900865,0.43486855,1.04404892,9.94265931
2018-06-01,101.71,0.08856524,0.18715524,-0.05895647,0.32550799,0.78279826,9.80243981
2018-07-01,101.92,0.20646937,0.522734,0.14739118,0.46328241,1.55440415,9.55605719
2018-08-01,102.03,0.10792779,0.40346389,0.31462,0.55188726,1.62350598,9.16969827
2018-09-01,102.03,0.0,0.31462,0.50236407,0.52216749,1.48199722,9.23982869
2018-10-01,101.99,-0.03920416,0.06868132,0.59177434,0.4431751,1.23076923,9.2671952
2018-11-01,101.97,-0.01960977,-0.05880623,0.34442039,0.2852085,1.08049167,9.23406535
2018-12-01,101.87,-0.09806806,-0.15681662,0.15731,0.09826078,0.84141754,9.13863295
2019-01-01,100.58,-1.26631982,-1.38248848,-1.31475667,-1.16930333,-0.43555732,7.75658882
2019-02-01,100.81,0.22867369,-1.13758949,-1.19572675,-0.88486874,0.04962287,1.64347651
2019-03-01,101.01,0.19839302,-0.84421321,-0.99970597,-0.50236407,-0.10878165,0.71791804
2019-04-01,101.14,0.12870013,0.55677073,-0.83341504,-0.24657264,-0.06916313,0.55677073
2019-05-01,101.06,-0.07909828,0.24799127,-0.89241934,-0.55107262,-0.11860051,0.48722283
2019-06-01,101.09,0.02968534,0.07920008,-0.76568175,-0.60957625,-0.28605248,0.16845026
2019-07-01,101.09,0.0,-0.04943642,0.50705906,-0.81436421,-0.35485461,0.72738143
2019-08-01,101.11,0.01978435,0.04947556,0.29758952,-0.90169558,-0.35478467,0.70717131
2019-09-01,101.23,0.11868262,0.13849045,0.21780022,-0.78408311,-0.26600985,0.68629401
2019-10-01,101.28,0.04939247,0.18795133,0.13842199,-0.69614668,-0.25605673,0.52605459
2019-11-01,101.3,0.01974724,0.18791415,0.23748268,-0.657056,-0.37372148,0.41633624
2019-12-01,101.27,-0.029615,0.03951398,0.17805916,-0.58898596,-0.49130392,0.24747575
2020-01-01,100.33,-0.92821171,-0.93799368,-0.75180532,-0.24855836,-1.41495529,-0.68303306
2020-02-01,97.45,-2.87052726,-3.8005923,-3.61982,-3.33300268,-4.18837872,-3.28503374
2020-03-01,98.27,0.84145716,-2.9623778,-2.92403438,-2.71260271,-3.20133964,-2.81843354
2020-04-01,98.96,0.70214715,-1.36549387,-2.2906793,-2.15542812,-2.39668606,-2.22310048
2020-05-01,99.46,0.50525465,2.0625962,-1.81638697,-1.58321789,-2.12556583,-1.6999407
2020-06-01,99.92,0.46249749,1.67904752,-1.33307001,-1.15738451,-1.75990561,-1.44012626
2020-07-01,100.15,0.23018415,1.20250606,-0.17940795,-0.92986448,-1.7366562,-1.28141942
2020-08-01,100.38,0.22965552,0.92499497,3.00667009,-0.72198596,-1.61717142,-1.07420913
2020-09-01,100.47,0.08965929,0.55044035,2.23873003,-0.75076558,-1.52896207,-1.01477833
2020-10-01,100.55,0.07962576,0.3994009,1.60670978,-0.72077409,-1.41190313,-0.97498523
2020-11-01,100.6,0.0497265,0.21916716,1.14618942,-0.69101678,-1.34353241,-1.06215578
2020-12-01,100.86,0.2584493,0.38817557,0.9407526,-0.4048583,-0.9914597,-0.89417314
2021-01-01,101.11,0.24786833,0.55693685,0.95856216,0.77743447,0.52694373,-0.64852118
2021-02-01,101.43,0.31648699,0.8250497,1.0460251,4.08414572,0.61501835,-0.2752925
2021-03-01,101.32,-0.10844918,0.45607773,0.84602369,3.1036939,0.30690031,-0.19700552
2021-04-01,101.29,-0.02960916,0.17802393,0.73595226,2.35448666,0.14830927,-0.09862906
2021-05-01,101.18,-0.10859907,-0.2464754,0.57654076,1.72933843,0.11874134,-0.43298563
2021-06-01,101.06,-0.11860051,-0.25661271,0.19829467,1.14091273,-0.02967653,-0.63907187
2021-07-01,100.97,-0.08905601,-0.31592457,-0.13846306,0.81877184,-0.1187061,-0.93210361
2021-08-01,100.82,-0.14855898,-0.35580154,-0.60139998,0.43833433,-0.28681634,-1.18592571
2021-09-01,100.7,-0.119024,-0.35622403,-0.61192262,0.22892406,-0.52356021,-1.30353818
2021-10-01,100.57,-0.12909633,-0.39615727,-0.71083029,0.0198906,-0.70102686,-1.39229336
2021-11-01,100.45,-0.11931988,-0.36699068,-0.72148646,-0.14910537,-0.83909181,-1.4906345
2021-12-01,100.28,-0.16923843,-0.41708044,-0.77181872,-0.57505453,-0.97758467,-1.5608128
2022-01-01,96.82,-3.45033905,-3.72874615,-4.11013172,-4.24290377,-3.4984551,-3.73831776
2022-02-01,96.89,0.07229911,-3.54405177,-3.8980361,-4.4759933,-0.57465367,-3.88850312
2022-03-01,96.62,-0.27866653,-3.64978061,-4.05163853,-4.63876826,-1.67904752,-4.34610435
2022-04-01,95.85,-0.79693645,-1.00185912,-4.69324848,-5.37071774,-3.14268391,-5.23037374
2022-05-01,95.56,-0.30255608,-1.37269068,-4.86809358,-5.5544574,-3.92117434,-5.4423115
2022-06-01,95.35,-0.21975722,-1.31442765,-4.91623454,-5.65010885,-4.57365893,-5.67810862
2022-07-01,95.23,-0.12585212,-0.64684403,-1.64222268,-5.68485689,-4.91263105,-5.79681472
2022-08-01,95.03,-0.21001785,-0.55462537,-1.91970276,-5.74290815,-5.32974696,-6.01325289
2022-09-01,94.8,-0.24202883,-0.57682223,-1.88366798,-5.85898709,-5.64347566,-6.35187197
2022-10-01,94.66,-0.14767932,-0.59855088,-1.24152321,-5.87650393,-5.8577822,-6.53633491
2022-11-01,94.38,-0.29579548,-0.68399453,-1.23482629,-6.04280737,-6.18290258,-6.83119447
2022-12-01,94.31,-0.07416826,-0.51687764,-1.09071841,-5.95333067,-6.49415031,-6.8727165
2023-01-01,94.39,0.08482664,-0.28523135,-0.88207498,-2.50981202,-6.64622688,-5.92046247
2023-02-01,94.59,0.21188685,0.22250477,-0.46301168,-2.37382599,-6.74356699,-2.93483838
2023-03-01,94.63,0.04228777,0.33930654,-0.17932489,-2.05961499,-6.60284248,-3.70408059
2023-04-01,94.69,0.06340484,0.31783028,0.03169237,-1.21022431,-6.51594432,-4.3148747
2023-05-01,94.48,-0.22177632,-0.11629136,0.10595465,-1.13017999,-6.62186203,-5.00703801
2023-06-01,93.99,-0.51862828,-0.67631829,-0.33930654,-1.42632407,-6.99584405,-5.9347478
2023-07-01,93.71,-0.29790403,-1.03495617,-0.7204153,-1.59613567,-7.19025453,-6.43035447
2023-08-01,93.49,-0.23476683,-1.04784081,-1.16291363,-1.62054088,-7.27038286,-6.86391711
2023-09-01,93.37,-0.12835597,-0.65964464,-1.33150164,-1.50843882,-7.27904667,-7.06678611
2023-10-01,93.34,-0.03213023,-0.39483513,-1.42570493,-1.3944644,-7.18902257,-7.17056191
2023-11-01,93.35,0.01071352,-0.14974864,-1.19602032,-1.09133291,-7.06819313,-7.20675944
2023-12-01,93.29,-0.06427424,-0.08568063,-0.74476008,-1.0815396,-6.97048265,-7.5054531
2024-01-01,92.19,-1.17911888,-1.23205485,-1.6220254,-2.33075538,-4.78206982,-8.82207497
2024-02-01,91.92,-0.29287341,-1.53186931,-1.67932399,-2.82270853,-5.12952833,-9.37592428
2024-03-01,91.86,-0.06527415,-1.53285454,-1.61722181,-2.92719011,-4.92651625,-9.33675484
2024-04-01,91.8,-0.06531679,-0.42303938,-1.64988215,-3.05206463,-4.22535211,-9.36913812
2024-05-01,91.91,0.11982571,-0.01087903,-1.54258168,-2.72015241,-3.81958979,-9.1618897
2024-06-01,91.99,0.08704167,0.1415197,-1.39350413,-2.12788595,-3.52385947,-8.97486642
2024-07-01,92.11,0.13044896,0.33769063,-0.08677731,-1.70739516,-3.27627848,-8.77488363
2024-08-01,92.24,0.1411356,0.35904689,0.34812881,-1.33704139,-2.93591497,-8.51021623
2024-09-01,92.31,0.07588899,0.3478639,0.4898759,-1.13526829,-2.62658228,-8.33167825
2024-10-01,92.38,0.07583144,0.29312778,0.63180828,-1.02849796,-2.40862033,-8.14358158
2024-11-01,92.51,0.1407231,0.29271466,0.65281253,-0.89983931,-1.98135198,-7.90443006
2024-12-01,92.55,0.04323857,0.2599935,0.60876182,-0.79322543,-1.86618598,-7.70841643
2025-01-01,93.26,0.76715289,0.95258714,1.24850722,1.16064649,-1.19716072,-3.67692625
