Date,PE
2001-04-01,75.38
2001-05-01,59.95
2001-06-01,68.04
2001-07-01,69.02
2001-08-01,62.05
2001-09-01,48.66
2001-10-01,59.01
2001-11-01,66.94
2001-12-01,50.4
2002-01-01,49.29
2002-02-01,41.56
2002-03-01,44.19
2002-04-01,38.75
2002-05-01,35.96
2002-06-01,30.17
2002-07-01,28.12
2002-08-01,27.33
2002-09-01,24.26
2002-10-01,28.94
2002-11-01,32.32
2002-12-01,27.22
2003-01-01,26.17
2003-02-01,26.07
2003-03-01,25.5
2003-04-01,27.3
2003-05-01,28.84
2003-06-01,28.21
2003-07-01,29.07
2003-08-01,29.9
2003-09-01,28.17
2003-10-01,29.34
2003-11-01,28.74
2003-12-01,28.53
2004-01-01,29.01
2004-02-01,28.57
2004-03-01,27.95
2004-04-01,27.23
2004-05-01,28.49
2004-06-01,29.47
2004-07-01,27.21
2004-08-01,26.6
2004-09-01,27.45
2004-10-01,28.89
2004-11-01,30.54
2004-12-01,31.5
2005-05-01,23.07
2005-06-01,21.91
2005-07-01,22.82
2005-08-01,22.65
2005-09-01,23.01
2005-10-01,22.57
2005-11-01,23.95
2005-12-01,17.8
2006-01-01,16.39
2006-02-01,15.67
2006-03-01,17.28
2006-04-01,16.95
2006-05-01,15.41
2006-06-01,15.55
2006-07-01,20.7
2006-08-01,21.38
2006-09-01,21.85
2006-10-01,22.36
2006-11-01,22.61
2006-12-01,22.22
2007-01-01,22.42
2007-02-01,21.83
2007-03-01,21.51
2007-04-01,22.19
2007-05-01,22.78
2007-06-01,22.28
2007-07-01,21.84
2007-08-01,22.02
2007-09-01,22.63
2007-10-01,23.76
2007-11-01,21.99
2007-12-01,21.65
2008-01-01,19.14
2008-02-01,18.22
2008-03-01,18.57
2008-04-01,19.8
2008-05-01,20.82
2008-06-01,18.38
2008-07-01,18.47
2008-08-01,18.55
2008-09-01,15.85
2008-10-01,14.04
2008-11-01,13.07
2008-12-01,13.59
2009-01-01,14.15
2009-02-01,13.83
2009-03-01,15.32
2009-04-01,17.05
2009-05-01,17.31
2009-06-01,17.4
2009-07-01,18.25
2009-08-01,17.99
2009-09-01,18.52
2009-10-01,16.92
2009-11-01,17.4
