,Nasdaq_Close,Fed_Rate
2018-01-01,6949.990234375,1.41
2018-02-01,6854.419921875,1.42
2018-03-01,6581.1298828125,1.51
2018-04-01,6605.56982421875,1.69
2018-05-01,6967.72998046875,1.7
2018-06-01,7040.7998046875,1.82
2018-07-01,7231.97998046875,1.91
2018-08-01,7654.5498046875,1.91
2018-09-01,7627.64990234375,1.95
2018-10-01,6967.10009765625,2.19
2018-11-01,6949.009765625,2.2
2018-12-01,6329.97021484375,2.27
2019-01-01,6906.83984375,2.4
2019-02-01,7097.52978515625,2.4
2019-03-01,7378.77001953125,2.41
2019-04-01,7781.4599609375,2.42
2019-05-01,7127.9599609375,2.39
2019-06-01,7671.080078125,2.38
2019-07-01,7848.77978515625,2.4
2019-08-01,7691.0,2.13
2019-09-01,7749.4501953125,2.04
2019-10-01,8083.830078125,1.83
2019-11-01,8403.6796875,1.55
2019-12-01,8733.0703125,1.55
2020-01-01,8991.509765625,1.55
2020-02-01,8461.830078125,1.58
2020-03-01,7813.5,0.65
2020-04-01,9000.509765625,0.05
2020-05-01,9555.5302734375,0.05
2020-06-01,10156.849609375,0.08
2020-07-01,10905.8798828125,0.09
2020-08-01,12110.7001953125,0.1
2020-09-01,11418.0595703125,0.09
2020-10-01,11052.9501953125,0.09
2020-11-01,12268.3203125,0.09
2020-12-01,12888.2802734375,0.09
2021-01-01,12925.3798828125,0.09
2021-02-01,12909.4404296875,0.08
2021-03-01,13091.4404296875,0.07
2021-04-01,13860.759765625,0.07
2021-05-01,13686.509765625,0.06
2021-06-01,14554.7998046875,0.08
2021-07-01,14959.900390625,0.1
2021-08-01,15582.509765625,0.09
2021-09-01,14689.6201171875,0.08
2021-10-01,15850.4697265625,0.08
2021-11-01,16135.919921875,0.08
2021-12-01,16320.080078125,0.08
2022-01-01,14930.0498046875,0.08
2022-02-01,14237.8095703125,0.08
2022-03-01,14838.490234375,0.2
2022-04-01,12854.7998046875,0.33
2022-05-01,12642.099609375,0.77
2022-06-01,11503.7197265625,1.21
2022-07-01,12947.9697265625,1.68
2022-08-01,12272.0302734375,2.33
2022-09-01,10971.2197265625,2.56
2022-10-01,11405.5703125,3.08
2022-11-01,12030.0595703125,3.78
2022-12-01,10939.759765625,4.1
2023-01-01,12101.9296875,4.33
2023-02-01,12042.1201171875,4.57
2023-03-01,13181.349609375,4.65
2023-04-01,13245.990234375,4.83
2023-05-01,14254.08984375,5.06
2023-06-01,15179.2099609375,5.08
2023-07-01,15757.0,5.12
2023-08-01,15501.0703125,5.33
2023-09-01,14715.240234375,5.33
2023-10-01,14409.7802734375,5.33
2023-11-01,15947.8701171875,5.33
2023-12-01,16825.9296875,5.33
2024-01-01,17137.240234375,5.33
2024-02-01,18043.849609375,5.33
2024-03-01,18254.689453125,5.33
2024-04-01,17440.689453125,5.33
2024-05-01,18536.650390625,5.33
2024-06-01,19682.869140625,5.33
2024-07-01,19362.4296875,5.33
2024-08-01,19574.640625,5.33
2024-09-01,20060.689453125,5.13
2024-10-01,19890.419921875,4.83
2024-11-01,20930.369140625,4.64
2024-12-01,21012.169921875,4.48
2025-01-01,21478.05078125,4.33
2025-02-01,20884.41015625,4.33
2025-03-01,19278.44921875,4.33
2025-04-01,19571.01953125,4.33
2025-05-01,21340.990234375,4.33
2025-06-01,22679.009765625,4.33
2025-07-01,23218.119140625,4.33
2025-08-01,23415.419921875,4.33
2025-09-01,24679.990234375,4.22
2025-10-01,25858.130859375,4.09
2025-11-01,25434.890625,3.88
2025-12-01,25249.849609375,3.72
