日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2015-01-01,上海,95.1,100.0,118.8,98.4,100.3,114.9
2015-02-01,上海,94.5,99.9,118.6,97.9,100.1,115.0
2015-03-01,上海,94.1,100.0,118.6,97.6,100.0,115.0
2015-04-01,上海,94.5,100.7,119.5,98.2,100.6,115.7
2015-05-01,上海,97.2,102.6,122.5,100.6,102.2,118.2
2015-06-01,上海,100.2,102.4,125.4,102.5,101.2,119.6
2015-07-01,上海,103.6,101.9,127.8,105.0,101.6,121.5
2015-08-01,上海,106.5,101.6,129.8,106.9,101.1,122.8
2015-09-01,上海,109.7,101.9,132.3,108.8,101.0,124.1
2015-10-01,上海,112.7,102.1,135.0,109.7,100.8,125.1
2015-11-01,上海,115.4,101.9,137.6,110.8,101.0,126.3
2015-12-01,上海,118.2,102.1,140.5,111.7,101.2,127.9
2016-01-01,上海,121.4,102.6,,114.4,102.7,
2016-02-01,上海,125.1,102.9,,120.3,105.3,
2016-03-01,上海,130.5,104.3,,127.8,106.2,
2016-04-01,上海,134.2,103.6,,130.2,102.5,
2016-05-01,上海,133.8,102.3,,129.2,101.4,
2016-06-01,上海,133.7,102.4,,130.5,102.2,
2016-07-01,上海,133.1,101.4,,131.0,102.0,
2016-08-01,上海,137.8,105.2,,134.4,103.7,
2016-09-01,上海,139.5,103.2,,137.4,103.4,
2016-10-01,上海,137.4,100.5,,136.7,100.3,
2016-11-01,上海,134.8,99.9,,135.1,99.8,
2016-12-01,上海,131.7,99.8,,132.8,99.5,
2017-01-01,上海,128.3,99.9,,128.7,99.6,
2017-02-01,上海,125.0,100.2,,122.5,100.2,
2017-03-01,上海,119.8,99.9,,116.1,100.7,
2017-04-01,上海,115.4,99.8,,114.2,100.8,
2017-05-01,上海,112.9,100.0,,112.6,100.0,
2017-06-01,上海,110.0,99.8,,110.0,99.9,
2017-07-01,上海,108.4,100.0,,107.4,99.6,
2017-08-01,上海,103.2,100.0,,103.4,99.8,
2017-09-01,上海,99.9,99.9,,99.9,99.9,
2017-10-01,上海,99.7,100.3,,99.9,100.3,
2017-11-01,上海,99.7,100.0,,99.9,99.7,
2017-12-01,上海,100.2,100.3,,100.3,99.9,
2018-01-01,上海,99.8,99.6,,100.8,100.1,
2018-02-01,上海,99.4,99.8,,100.2,99.6,
2018-03-01,上海,99.7,100.2,,98.9,99.4,
