日期,地区,指标,值
2015-01-01,上海市,商品房现房销售面积_累计值(万平方米),
2015-02-01,上海市,商品房现房销售面积_累计值(万平方米),
2015-03-01,上海市,商品房现房销售面积_累计值(万平方米),
2015-04-01,上海市,商品房现房销售面积_累计值(万平方米),
2015-05-01,上海市,商品房现房销售面积_累计值(万平方米),
2015-06-01,上海市,商品房现房销售面积_累计值(万平方米),
2015-07-01,上海市,商品房现房销售面积_累计值(万平方米),
2015-08-01,上海市,商品房现房销售面积_累计值(万平方米),
2015-09-01,上海市,商品房现房销售面积_累计值(万平方米),
2015-10-01,上海市,商品房现房销售面积_累计值(万平方米),
2015-11-01,上海市,商品房现房销售面积_累计值(万平方米),
2015-12-01,上海市,商品房现房销售面积_累计值(万平方米),
2016-01-01,上海市,商品房现房销售面积_累计值(万平方米),
2016-02-01,上海市,商品房现房销售面积_累计值(万平方米),
2016-03-01,上海市,商品房现房销售面积_累计值(万平方米),
2016-04-01,上海市,商品房现房销售面积_累计值(万平方米),
2016-05-01,上海市,商品房现房销售面积_累计值(万平方米),
2016-06-01,上海市,商品房现房销售面积_累计值(万平方米),
2016-07-01,上海市,商品房现房销售面积_累计值(万平方米),
2016-08-01,上海市,商品房现房销售面积_累计值(万平方米),
2016-09-01,上海市,商品房现房销售面积_累计值(万平方米),
2016-10-01,上海市,商品房现房销售面积_累计值(万平方米),
2016-11-01,上海市,商品房现房销售面积_累计值(万平方米),
2016-12-01,上海市,商品房现房销售面积_累计值(万平方米),
2017-01-01,上海市,商品房现房销售面积_累计值(万平方米),
2017-02-01,上海市,商品房现房销售面积_累计值(万平方米),
2017-03-01,上海市,商品房现房销售面积_累计值(万平方米),
2017-04-01,上海市,商品房现房销售面积_累计值(万平方米),
2017-05-01,上海市,商品房现房销售面积_累计值(万平方米),
2017-06-01,上海市,商品房现房销售面积_累计值(万平方米),
2017-07-01,上海市,商品房现房销售面积_累计值(万平方米),
2017-08-01,上海市,商品房现房销售面积_累计值(万平方米),
2017-09-01,上海市,商品房现房销售面积_累计值(万平方米),
2017-10-01,上海市,商品房现房销售面积_累计值(万平方米),
2017-11-01,上海市,商品房现房销售面积_累计值(万平方米),
2017-12-01,上海市,商品房现房销售面积_累计值(万平方米),
2018-01-01,上海市,商品房现房销售面积_累计值(万平方米),
2018-02-01,上海市,商品房现房销售面积_累计值(万平方米),
2018-03-01,上海市,商品房现房销售面积_累计值(万平方米),
2018-04-01,上海市,商品房现房销售面积_累计值(万平方米),
2018-05-01,上海市,商品房现房销售面积_累计值(万平方米),
2018-06-01,上海市,商品房现房销售面积_累计值(万平方米),
2018-07-01,上海市,商品房现房销售面积_累计值(万平方米),
2018-08-01,上海市,商品房现房销售面积_累计值(万平方米),
2018-09-01,上海市,商品房现房销售面积_累计值(万平方米),
2018-10-01,上海市,商品房现房销售面积_累计值(万平方米),
2018-11-01,上海市,商品房现房销售面积_累计值(万平方米),
2018-12-01,上海市,商品房现房销售面积_累计值(万平方米),
2019-01-01,上海市,商品房现房销售面积_累计值(万平方米),
2019-02-01,上海市,商品房现房销售面积_累计值(万平方米),
2019-03-01,上海市,商品房现房销售面积_累计值(万平方米),
2019-04-01,上海市,商品房现房销售面积_累计值(万平方米),
2019-05-01,上海市,商品房现房销售面积_累计值(万平方米),
2019-06-01,上海市,商品房现房销售面积_累计值(万平方米),
2019-07-01,上海市,商品房现房销售面积_累计值(万平方米),
2019-08-01,上海市,商品房现房销售面积_累计值(万平方米),
2019-09-01,上海市,商品房现房销售面积_累计值(万平方米),
2019-10-01,上海市,商品房现房销售面积_累计值(万平方米),
2019-11-01,上海市,商品房现房销售面积_累计值(万平方米),
2019-12-01,上海市,商品房现房销售面积_累计值(万平方米),
2020-01-01,上海市,商品房现房销售面积_累计值(万平方米),
2020-02-01,上海市,商品房现房销售面积_累计值(万平方米),71.4671
2020-03-01,上海市,商品房现房销售面积_累计值(万平方米),107.1528
2020-04-01,上海市,商品房现房销售面积_累计值(万平方米),142.6126
2020-05-01,上海市,商品房现房销售面积_累计值(万平方米),176.9824
2020-06-01,上海市,商品房现房销售面积_累计值(万平方米),255.8691
2020-07-01,上海市,商品房现房销售面积_累计值(万平方米),349.1781
2020-08-01,上海市,商品房现房销售面积_累计值(万平方米),390.646
2020-09-01,上海市,商品房现房销售面积_累计值(万平方米),469.7272
2020-10-01,上海市,商品房现房销售面积_累计值(万平方米),593.901
2020-11-01,上海市,商品房现房销售面积_累计值(万平方米),623.4982
2020-12-01,上海市,商品房现房销售面积_累计值(万平方米),743.6037
2021-01-01,上海市,商品房现房销售面积_累计值(万平方米),
2021-02-01,上海市,商品房现房销售面积_累计值(万平方米),68.3856
2021-03-01,上海市,商品房现房销售面积_累计值(万平方米),161.4586
2021-04-01,上海市,商品房现房销售面积_累计值(万平方米),215.201
2021-05-01,上海市,商品房现房销售面积_累计值(万平方米),249.3908
2021-06-01,上海市,商品房现房销售面积_累计值(万平方米),330.4846
2021-07-01,上海市,商品房现房销售面积_累计值(万平方米),406.0516
2021-08-01,上海市,商品房现房销售面积_累计值(万平方米),439.5577
2021-09-01,上海市,商品房现房销售面积_累计值(万平方米),526.6366
2021-10-01,上海市,商品房现房销售面积_累计值(万平方米),621.2158
2021-11-01,上海市,商品房现房销售面积_累计值(万平方米),635.721
2021-12-01,上海市,商品房现房销售面积_累计值(万平方米),715.5225
2022-01-01,上海市,商品房现房销售面积_累计值(万平方米),
2022-02-01,上海市,商品房现房销售面积_累计值(万平方米),103.7611
2022-03-01,上海市,商品房现房销售面积_累计值(万平方米),145.0432
2022-04-01,上海市,商品房现房销售面积_累计值(万平方米),145.5413
2022-05-01,上海市,商品房现房销售面积_累计值(万平方米),163.5314
2022-06-01,上海市,商品房现房销售面积_累计值(万平方米),228.3195
2022-07-01,上海市,商品房现房销售面积_累计值(万平方米),261.3544
2022-08-01,上海市,商品房现房销售面积_累计值(万平方米),328.0627
2022-09-01,上海市,商品房现房销售面积_累计值(万平方米),383.0602
2022-10-01,上海市,商品房现房销售面积_累计值(万平方米),445.6843
