Date,Name,Market,Ticker,MarketCap,Price,Currency
2025-02-05,工商银行,A,601398.SS,22939.28,6.44,CNY
2025-02-06,工商银行,A,601398.SS,22939.28,6.44,CNY
2025-02-07,工商银行,A,601398.SS,22939.28,6.44,CNY
2025-02-10,工商银行,A,601398.SS,22870.7,6.42,CNY
2025-02-11,工商银行,A,601398.SS,23385.04,6.56,CNY
2025-02-12,工商银行,A,601398.SS,23659.35,6.64,CNY
2025-02-13,工商银行,A,601398.SS,23865.08,6.7,CNY
2025-02-14,工商银行,A,601398.SS,23967.95,6.72,CNY
2025-02-17,工商银行,A,601398.SS,23865.08,6.7,CNY
2025-02-18,工商银行,A,601398.SS,24310.84,6.82,CNY
2025-02-19,工商银行,A,601398.SS,24173.68,6.78,CNY
2025-02-20,工商银行,A,601398.SS,24276.55,6.81,CNY
2025-02-21,工商银行,A,601398.SS,23762.21,6.67,CNY
2025-02-24,工商银行,A,601398.SS,23625.06,6.63,CNY
2025-02-25,工商银行,A,601398.SS,23522.19,6.6,CNY
2025-02-26,工商银行,A,601398.SS,23590.77,6.62,CNY
2025-02-27,工商银行,A,601398.SS,23762.21,6.67,CNY
2025-02-28,工商银行,A,601398.SS,23556.48,6.61,CNY
2025-03-03,工商银行,A,601398.SS,23487.9,6.59,CNY
2025-03-04,工商银行,A,601398.SS,23247.88,6.52,CNY
2025-03-05,工商银行,A,601398.SS,23556.48,6.61,CNY
2025-03-06,工商银行,A,601398.SS,23419.32,6.57,CNY
2025-03-07,工商银行,A,601398.SS,23316.46,6.54,CNY
2025-03-10,工商银行,A,601398.SS,23110.73,6.48,CNY
2025-03-11,工商银行,A,601398.SS,23247.88,6.52,CNY
2025-03-12,工商银行,A,601398.SS,23042.15,6.47,CNY
2025-03-13,工商银行,A,601398.SS,23076.44,6.47,CNY
2025-03-14,工商银行,A,601398.SS,23145.01,6.49,CNY
2025-03-17,工商银行,A,601398.SS,23350.75,6.55,CNY
2025-03-18,工商银行,A,601398.SS,23316.46,6.54,CNY
2025-03-19,工商银行,A,601398.SS,23556.48,6.61,CNY
2025-03-20,工商银行,A,601398.SS,23453.62,6.58,CNY
2025-03-21,工商银行,A,601398.SS,23179.3,6.5,CNY
2025-03-24,工商银行,A,601398.SS,23385.04,6.56,CNY
2025-03-25,工商银行,A,601398.SS,23487.9,6.59,CNY
2025-03-26,工商银行,A,601398.SS,23419.32,6.57,CNY
2025-03-27,工商银行,A,601398.SS,23556.48,6.61,CNY
2025-03-28,工商银行,A,601398.SS,23590.77,6.62,CNY
2025-03-31,工商银行,A,601398.SS,23625.06,6.63,CNY
2025-04-01,工商银行,A,601398.SS,23316.46,6.54,CNY
2025-04-02,工商银行,A,601398.SS,23487.9,6.59,CNY
2025-04-03,工商银行,A,601398.SS,23625.06,6.63,CNY
2025-04-07,工商银行,A,601398.SS,23179.3,6.5,CNY
2025-04-08,工商银行,A,601398.SS,23385.04,6.56,CNY
2025-04-09,工商银行,A,601398.SS,23316.46,6.54,CNY
2025-04-10,工商银行,A,601398.SS,23145.01,6.49,CNY
2025-04-11,工商银行,A,601398.SS,23316.46,6.54,CNY
2025-04-14,工商银行,A,601398.SS,23556.48,6.61,CNY
2025-04-15,工商银行,A,601398.SS,23865.08,6.7,CNY
2025-04-16,工商银行,A,601398.SS,24207.97,6.79,CNY
2025-04-17,工商银行,A,601398.SS,24173.68,6.78,CNY
2025-04-18,工商银行,A,601398.SS,24482.28,6.87,CNY
2025-04-21,工商银行,A,601398.SS,24173.68,6.78,CNY
2025-04-22,工商银行,A,601398.SS,24516.57,6.88,CNY
2025-04-23,工商银行,A,601398.SS,24379.42,6.84,CNY
2025-04-24,工商银行,A,601398.SS,24825.17,6.97,CNY
2025-04-25,工商银行,A,601398.SS,24722.3,6.94,CNY
2025-04-28,工商银行,A,601398.SS,24996.61,7.01,CNY
2025-04-29,工商银行,A,601398.SS,24928.04,6.99,CNY
2025-04-30,工商银行,A,601398.SS,24036.53,6.74,CNY
2025-05-06,工商银行,A,601398.SS,23933.66,6.72,CNY
2025-05-07,工商银行,A,601398.SS,24379.42,6.84,CNY
2025-05-08,工商银行,A,601398.SS,24379.42,6.84,CNY
2025-05-09,工商银行,A,601398.SS,24585.15,6.9,CNY
2025-05-12,工商银行,A,601398.SS,24550.86,6.89,CNY
2025-05-13,工商银行,A,601398.SS,24790.88,6.96,CNY
2025-05-14,工商银行,A,601398.SS,24790.88,6.96,CNY
2025-05-15,工商银行,A,601398.SS,24928.04,6.99,CNY
2025-05-16,工商银行,A,601398.SS,24550.86,6.89,CNY
2025-05-19,工商银行,A,601398.SS,24413.7,6.85,CNY
2025-05-20,工商银行,A,601398.SS,24447.99,6.86,CNY
2025-05-21,工商银行,A,601398.SS,24482.28,6.87,CNY
2025-05-22,工商银行,A,601398.SS,24413.7,6.85,CNY
2025-05-23,工商银行,A,601398.SS,24276.55,6.81,CNY
2025-05-26,工商银行,A,601398.SS,24173.68,6.78,CNY
2025-05-27,工商银行,A,601398.SS,24207.97,6.79,CNY
2025-05-28,工商银行,A,601398.SS,24173.68,6.78,CNY
2025-05-29,工商银行,A,601398.SS,24139.39,6.77,CNY
2025-05-30,工商银行,A,601398.SS,24242.26,6.8,CNY
2025-06-03,工商银行,A,601398.SS,24379.42,6.84,CNY
2025-06-04,工商银行,A,601398.SS,24276.55,6.81,CNY
2025-06-05,工商银行,A,601398.SS,24310.84,6.82,CNY
2025-06-06,工商银行,A,601398.SS,24345.13,6.83,CNY
2025-06-09,工商银行,A,601398.SS,24276.55,6.81,CNY
2025-06-10,工商银行,A,601398.SS,24345.13,6.83,CNY
2025-06-11,工商银行,A,601398.SS,24413.7,6.85,CNY
2025-06-12,工商银行,A,601398.SS,24379.42,6.84,CNY
2025-06-13,工商银行,A,601398.SS,24310.84,6.82,CNY
2025-06-16,工商银行,A,601398.SS,24482.28,6.87,CNY
2025-06-17,工商银行,A,601398.SS,24585.15,6.9,CNY
2025-06-18,工商银行,A,601398.SS,24859.46,6.98,CNY
2025-06-19,工商银行,A,601398.SS,25030.91,7.02,CNY
2025-06-20,工商银行,A,601398.SS,25270.93,7.09,CNY
2025-06-23,工商银行,A,601398.SS,25785.26,7.23,CNY
2025-06-24,工商银行,A,601398.SS,26162.44,7.34,CNY
2025-06-25,工商银行,A,601398.SS,26299.59,7.38,CNY
2025-06-26,工商银行,A,601398.SS,26471.04,7.43,CNY
2025-06-27,工商银行,A,601398.SS,25716.68,7.22,CNY
2025-06-30,工商银行,A,601398.SS,26025.28,7.3,CNY
2025-07-01,工商银行,A,601398.SS,26265.3,7.37,CNY
2025-07-02,工商银行,A,601398.SS,26333.88,7.39,CNY
2025-07-03,工商银行,A,601398.SS,26196.73,7.35,CNY
2025-07-04,工商银行,A,601398.SS,26573.9,7.46,CNY
2025-07-07,工商银行,A,601398.SS,26505.33,7.44,CNY
2025-07-08,工商银行,A,601398.SS,26608.2,7.47,CNY
2025-07-09,工商银行,A,601398.SS,26916.79,7.55,CNY
2025-07-10,工商银行,A,601398.SS,27705.44,7.77,CNY
2025-07-11,工商银行,A,601398.SS,27465.42,7.71,CNY
2025-07-14,工商银行,A,601398.SS,27446.51,7.7,CNY
2025-07-15,工商银行,A,601398.SS,27306.48,7.66,CNY
2025-07-16,工商银行,A,601398.SS,27306.48,7.66,CNY
2025-07-17,工商银行,A,601398.SS,27131.44,7.61,CNY
2025-07-18,工商银行,A,601398.SS,27201.45,7.63,CNY
2025-07-21,工商银行,A,601398.SS,26956.39,7.56,CNY
2025-07-22,工商银行,A,601398.SS,26606.31,7.47,CNY
2025-07-23,工商银行,A,601398.SS,26781.35,7.51,CNY
2025-07-24,工商银行,A,601398.SS,26431.27,7.42,CNY
2025-07-25,工商银行,A,601398.SS,26221.22,7.36,CNY
2025-07-28,工商银行,A,601398.SS,26221.22,7.36,CNY
2025-07-29,工商银行,A,601398.SS,26011.17,7.3,CNY
2025-07-30,工商银行,A,601398.SS,26221.22,7.36,CNY
2025-07-31,工商银行,A,601398.SS,26466.28,7.43,CNY
2025-08-01,工商银行,A,601398.SS,26676.33,7.48,CNY
2025-08-04,工商银行,A,601398.SS,26886.38,7.54,CNY
2025-08-05,工商银行,A,601398.SS,27166.45,7.62,CNY
2025-08-06,工商银行,A,601398.SS,27166.45,7.62,CNY
2025-08-07,工商银行,A,601398.SS,27446.51,7.7,CNY
2025-08-08,工商银行,A,601398.SS,27271.47,7.65,CNY
2025-08-11,工商银行,A,601398.SS,26956.39,7.56,CNY
2025-08-12,工商银行,A,601398.SS,27236.46,7.64,CNY
2025-08-13,工商银行,A,601398.SS,26956.39,7.56,CNY
2025-08-14,工商银行,A,601398.SS,26921.39,7.55,CNY
2025-08-15,工商银行,A,601398.SS,26431.27,7.42,CNY
2025-08-18,工商银行,A,601398.SS,26361.25,7.4,CNY
2025-08-19,工商银行,A,601398.SS,26501.29,7.44,CNY
2025-08-20,工商银行,A,601398.SS,26501.29,7.44,CNY
2025-08-21,工商银行,A,601398.SS,26606.31,7.47,CNY
2025-08-22,工商银行,A,601398.SS,26711.34,7.49,CNY
2025-08-25,工商银行,A,601398.SS,26571.3,7.46,CNY
2025-08-26,工商银行,A,601398.SS,26431.27,7.42,CNY
2025-08-27,工商银行,A,601398.SS,25941.15,7.28,CNY
2025-08-28,工商银行,A,601398.SS,25836.13,7.25,CNY
2025-08-29,工商银行,A,601398.SS,26011.17,7.3,CNY
2025-09-01,工商银行,A,601398.SS,25836.13,7.25,CNY
2025-09-02,工商银行,A,601398.SS,26501.29,7.44,CNY
2025-09-03,工商银行,A,601398.SS,26046.18,7.31,CNY
2025-09-04,工商银行,A,601398.SS,26396.26,7.41,CNY
2025-09-05,工商银行,A,601398.SS,26046.18,7.31,CNY
2025-09-08,工商银行,A,601398.SS,25906.15,7.27,CNY
2025-09-09,工商银行,A,601398.SS,26011.17,7.3,CNY
